ix,race_id,driver_id,lap,position,time,milliseconds
399999,963,836,9,15,2:22.467,142467
400000,963,836,10,17,2:17.112,137112
400001,963,836,11,17,1:44.058,104058
400002,963,836,12,17,1:43.085,103085
400003,963,836,13,16,1:42.988,102988
400004,963,836,14,16,1:43.222,103222
400005,963,836,15,16,1:42.859,102859
400006,963,836,16,16,1:43.113,103113
400007,963,836,17,16,1:42.807,102807
400008,963,836,18,16,1:43.267,103267
400009,963,836,19,16,1:43.030,103030
400010,963,836,20,16,1:43.127,103127
400011,963,836,21,16,1:42.938,102938
400012,963,836,22,16,1:43.314,103314
400013,963,836,23,16,1:43.150,103150
400014,963,836,24,16,1:43.306,103306
400015,963,836,25,16,1:43.070,103070
400016,963,836,26,16,1:43.138,103138
400017,963,836,27,16,1:42.958,102958
400018,963,836,28,16,1:43.094,103094
400019,963,836,29,16,1:43.136,103136
400020,963,836,30,16,1:46.865,106865
400021,963,836,31,18,2:04.532,124532
400022,963,836,32,16,1:41.815,101815
400023,963,836,33,16,1:42.048,102048
400024,963,836,34,17,1:42.771,102771
400025,963,836,35,17,1:42.000,102000
400026,963,836,36,17,1:41.790,101790
400027,963,836,37,17,1:41.703,101703
400028,963,836,38,17,1:41.901,101901
400029,963,836,39,17,1:50.806,110806
400030,963,836,40,17,2:19.870,139870
400031,963,836,41,16,2:22.771,142771
400032,963,836,42,17,2:02.157,122157
400033,963,836,43,17,1:40.340,100340
400034,963,836,44,17,1:40.321,100321
400035,963,836,45,17,1:40.461,100461
400036,963,836,46,16,1:42.708,102708
400037,963,836,47,15,1:40.183,100183
400038,963,836,48,15,1:40.218,100218
400039,963,836,49,15,1:40.489,100489
400040,963,836,50,15,1:39.937,99937
400041,963,836,51,15,1:42.742,102742
400042,963,836,52,15,1:41.796,101796
400043,963,836,53,15,1:39.828,99828
400044,963,836,54,15,1:42.184,102184
400045,963,836,55,15,1:39.653,99653
400046,963,831,1,16,2:24.059,144059
400047,963,831,2,16,2:06.643,126643
400048,963,831,3,17,1:44.676,104676
400049,963,831,4,17,1:43.969,103969
400050,963,831,5,17,1:43.694,103694
400051,963,831,6,17,1:43.874,103874
400052,963,831,7,17,1:43.319,103319
400053,963,831,8,16,1:43.649,103649
400054,963,831,9,16,2:20.138,140138
400055,963,831,10,11,2:02.439,122439
400056,963,831,11,14,1:44.487,104487
400057,963,831,12,15,1:44.559,104559
400058,963,831,13,14,1:42.923,102923
400059,963,831,14,14,1:43.258,103258
400060,963,831,15,14,1:43.684,103684
400061,963,831,16,14,1:43.728,103728
400062,963,831,17,14,1:43.450,103450
400063,963,831,18,14,1:43.326,103326
400064,963,831,19,14,1:43.191,103191
400065,963,831,20,14,1:43.085,103085
400066,963,831,21,13,1:42.471,102471
400067,963,831,22,12,1:42.793,102793
400068,963,831,23,14,1:44.142,104142
400069,963,831,24,14,1:43.473,103473
400070,963,831,25,14,1:42.648,102648
400071,963,831,26,14,1:42.647,102647
400072,963,831,27,14,1:42.858,102858
400073,963,831,28,14,1:43.852,103852
400074,963,831,29,14,1:42.914,102914
400075,963,831,30,14,1:42.504,102504
400076,963,831,31,14,1:42.477,102477
400077,963,831,32,13,1:45.787,105787
400078,963,831,33,14,2:00.681,120681
400079,963,831,34,14,1:41.272,101272
400080,963,831,35,14,1:41.550,101550
400081,963,831,36,14,1:43.427,103427
400082,963,831,37,14,1:40.974,100974
400083,963,831,38,14,1:41.717,101717
400084,963,831,39,14,1:41.636,101636
400085,963,831,40,14,2:21.811,141811
400086,963,831,41,13,2:19.111,139111
400087,963,831,42,13,1:49.696,109696
400088,963,831,43,13,1:40.490,100490
400089,963,831,44,13,1:41.299,101299
400090,963,831,45,13,1:42.053,102053
400091,963,831,46,15,1:51.422,111422
400092,963,3,1,17,2:26.006,146006
400093,963,3,2,17,2:05.058,125058
400094,963,3,3,16,1:43.108,103108
