ix,race_id,driver_id,lap,position,time,milliseconds
199999,145,2,39,7,1:27.597,87597
200000,145,2,40,10,1:47.283,107283
200001,145,2,41,10,1:25.187,85187
200002,145,2,42,10,1:23.978,83978
200003,145,2,43,10,1:24.152,84152
200004,145,2,44,9,1:24.952,84952
200005,145,2,45,8,1:24.888,84888
200006,145,2,46,7,1:24.921,84921
200007,145,2,47,7,1:24.027,84027
200008,145,2,48,7,1:24.120,84120
200009,145,2,49,6,1:24.127,84127
200010,145,2,50,6,1:23.998,83998
200011,145,2,51,6,1:25.196,85196
200012,145,2,52,6,1:24.347,84347
200013,145,2,53,6,1:24.465,84465
200014,145,2,54,6,1:24.897,84897
200015,145,2,55,6,1:24.176,84176
200016,145,2,56,6,1:24.601,84601
200017,145,2,57,6,1:24.631,84631
200018,145,2,58,6,1:24.297,84297
200019,145,2,59,6,1:25.517,85517
200020,145,2,60,7,1:25.623,85623
200021,145,2,61,7,1:24.537,84537
200022,145,2,62,7,1:24.360,84360
200023,145,2,63,7,1:23.807,83807
200024,145,2,64,7,1:23.902,83902
200025,145,2,65,6,1:24.680,84680
200026,145,8,1,10,1:34.076,94076
200027,145,8,2,10,1:26.029,86029
200028,145,8,3,11,1:25.775,85775
200029,145,8,4,11,1:25.590,85590
200030,145,8,5,11,1:25.604,85604
200031,145,8,6,11,1:24.925,84925
200032,145,8,7,11,1:24.588,84588
200033,145,8,8,11,1:24.419,84419
200034,145,8,9,11,1:24.068,84068
200035,145,8,10,11,1:24.148,84148
200036,145,8,11,11,1:24.110,84110
200037,145,8,12,11,1:23.840,83840
200038,145,8,13,11,1:23.630,83630
200039,145,8,14,11,1:24.017,84017
200040,145,8,15,11,1:24.045,84045
200041,145,8,16,11,1:23.536,83536
200042,145,8,17,11,1:23.855,83855
200043,145,8,18,11,1:23.793,83793
200044,145,8,19,11,1:23.625,83625
200045,145,8,20,11,1:23.644,83644
200046,145,8,21,10,1:23.378,83378
200047,145,8,22,8,1:23.234,83234
200048,145,8,23,8,1:27.894,87894
200049,145,8,24,12,1:45.637,105637
200050,145,8,25,10,1:23.394,83394
200051,145,8,26,10,1:24.183,84183
200052,145,8,27,10,1:23.905,83905
200053,145,8,28,10,1:23.784,83784
200054,145,8,29,9,1:24.082,84082
200055,145,8,30,9,1:23.795,83795
200056,145,8,31,9,1:23.980,83980
200057,145,8,32,9,1:24.062,84062
200058,145,8,33,9,1:23.732,83732
200059,145,8,34,9,1:23.583,83583
200060,145,8,35,9,1:25.270,85270
200061,145,8,36,9,1:23.897,83897
200062,145,8,37,9,1:23.376,83376
200063,145,8,38,10,1:27.827,87827
200064,145,8,39,11,1:47.583,107583
200065,145,8,40,11,1:23.049,83049
200066,145,8,41,11,1:23.431,83431
200067,145,8,42,11,1:24.396,84396
200068,145,8,43,11,1:26.236,86236
200069,145,8,44,11,1:25.859,85859
200070,145,8,45,11,1:24.776,84776
200071,145,8,46,11,1:24.061,84061
200072,145,8,47,11,1:25.179,85179
200073,145,8,48,11,1:24.397,84397
200074,145,8,49,9,1:24.150,84150
200075,145,8,50,9,1:24.079,84079
200076,145,8,51,9,1:24.263,84263
200077,145,8,52,9,1:24.025,84025
200078,145,8,53,9,1:25.003,85003
200079,145,8,54,9,1:24.396,84396
200080,145,8,55,9,1:24.180,84180
200081,145,8,56,9,1:24.209,84209
200082,145,8,57,9,1:25.136,85136
200083,145,8,58,9,1:24.119,84119
200084,145,8,59,9,1:24.172,84172
200085,145,8,60,9,1:24.320,84320
200086,145,8,61,9,1:24.881,84881
200087,145,8,62,9,1:24.774,84774
200088,145,8,63,9,1:24.822,84822
200089,145,8,64,9,1:24.961,84961
200090,145,8,65,8,1:26.325,86325
200091,145,56,1,9,1:33.784,93784
200092,145,56,2,9,1:25.901,85901
200093,145,56,3,9,1:25.341,85341
200094,145,56,4,9,1:25.384,85384
200095,145,56,5,9,1:25.350,85350
200096,145,56,6,9,1:24.531,84531
200097,145,56,7,9,1:24.231,84231
200098,145,56,8,9,1:24.453,84453
200099,145,56,9,9,1:23.932,83932
200100,145,56,10,9,1:23.980,83980
200101,145,56,11,9,1:23.721,83721
200102,145,56,12,9,1:23.778,83778
200103,145,56,13,9,1:23.763,83763
200104,145,56,14,9,1:23.653,83653
200105,145,56,15,9,1:23.821,83821
200106,145,56,16,9,1:23.409,83409
200107,145,56,17,9,1:23.447,83447
200108,145,56,18,9,1:23.527,83527
200109,145,56,19,9,1:23.338,83338
200110,145,56,20,9,1:23.880,83880
200111,145,56,21,8,1:23.963,83963
200112,145,56,22,6,1:24.095,84095
200113,145,56,23,6,1:22.568,82568
200114,145,56,24,5,1:27.061,87061
200115,145,56,25,9,1:49.387,109387
200116,145,56,26,9,1:24.150,84150
200117,145,56,27,9,1:23.984,83984
200118,145,56,28,9,1:23.722,83722
200119,145,56,29,8,1:23.933,83933
200120,145,56,30,8,1:23.847,83847
200121,145,56,31,8,1:24.121,84121
200122,145,56,32,8,1:23.943,83943
200123,145,56,33,8,1:23.776,83776
200124,145,56,34,8,1:23.791,83791
200125,145,56,35,8,1:25.263,85263
200126,145,56,36,8,1:23.490,83490
200127,145,56,37,8,1:23.248,83248
200128,145,56,38,8,1:23.443,83443
200129,145,56,39,8,1:23.363,83363
200130,145,56,40,7,1:23.077,83077
200131,145,56,41,6,1:23.083,83083
200132,145,56,42,4,1:23.213,83213
200133,145,56,43,4,1:22.901,82901
200134,145,56,44,4,1:22.881,82881
200135,145,56,45,4,1:26.734,86734
200136,145,56,46,8,1:48.627,108627
200137,145,56,47,8,1:24.148,84148
200138,145,56,48,8,1:25.176,85176
200139,145,37,1,17,1:38.854,98854
200140,145,37,2,17,1:26.738,86738
200141,145,37,3,16,1:25.932,85932
200142,145,37,4,16,1:26.611,86611
200143,145,37,5,16,1:27.414,87414
200144,145,58,1,20,1:40.569,100569
